example input data to run RothC for a number of years
clay and depth are only needed once, other data is monthly jan-dec 
clay	depth	iom	nsteps			
13.0	25.0	3.0041	840
year	modern	Tmp	Rain	Evap	C inp	FYM	PC	DPM/RPM
1960	120	8.59	13.5	75.8	0.2594	0	1	1.44
1960	120	12.5	45.8	112.8	0.2594	0	1	1.44
1960	120	15.56	98.2	120.1	0.2594	0	1	1.44
1960	120	15.08	86.9	131.3	0.2594	0	1	1.44
1960	120	14.95	95.2	105	0.2594	0	1	1.44
1960	120	13.05	110.8	60	1.2972	0	1	1.44
1960	120	10.19	119.7	31.7	0	0	1	1.44
1960	120	7.33	82.7	5.8	0	0	1	1.44
1960	120	3.81	104.5	0.9	0	0	1	1.44
1961	125	3.59	64.8	8.8	0	0	0	1.44
1961	125	7.16	60.2	19.7	0	0	0	1.44
1961	125	7.96	25.4	42.8	0	0	0	1.44
1961	125	9.68	70	76.2	0	0	0	1.44
1961	125	10.55	26.9	105.7	0	0	1	1.44
1961	125	14.49	38.4	122.4	0	0	1	1.44
1961	125	15.36	53.3	132.7	0	0	1	1.44
1961	125	15.81	78.5	109.4	0	0	1	1.44
1961	125	15.24	75.4	69.5	0	0	1	1.44
1961	125	10.53	91	31.8	0	0	1	1.44
1961	125	5.76	76.8	9.3	2.5972	0	1	1.44
1961	125	1.92	108.4	2	0	0	0	1.44
1962	135	3.99	89.4	7	0	0	0	1.44
1962	135	4.14	24.2	23.6	0	0	0	1.44
1962	135	2.21	52.2	38.9	0	0	0	1.44
1962	135	7.38	54.4	72.8	0	0	1	1.44
1962	135	9.81	69.1	103.6	0	0	1	1.44
1962	135	13.15	7.8	116.6	0	0	1	1.44
1962	135	14.68	60.6	134.5	0	0	1	1.44
1962	135	14.69	86.6	108.2	1.9732	0	1	1.44
1962	135	12.51	97.1	60.4	0	0	0	1.44
1962	135	10.11	67.1	29.3	0	0	0	1.44
1962	135	5.08	71.7	11.6	0	0	0	1.44
1962	135	0.78	46.1	-0.5	0	0	0	1.44
1963	194	-3.83	42.7	2.1	0	0	0	1.44
1963	194	-1.86	22.2	13	0	0	0	1.44
1963	194	5.72	81.6	45.5	0	0	0	1.44
1963	194	8.39	59.6	75.5	0	0	0	1.44
1963	194	10.36	43.8	108.4	0	0	1	1.44
1963	194	14.52	36.1	120.7	0	0	1	1.44
1963	194	14.61	48.4	121	0	0	1	1.44
1963	194	14.05	87.1	107	0	0	1	1.44
1963	194	12.58	83.4	61.7	0.9807	0	1	1.44
1963	194	10.75	46.2	34.7	0	0	0	1.44
1963	194	8.16	113.5	11.4	0	0	0	1.44
1963	194	1.81	26.2	2.2	0	0	0	1.44
1964	196	2.22	44.2	4.7	0	0	1	1.44
1964	196	4.07	35.8	19.8	0	0	1	1.44
1964	196	3.7	97.2	45	0	0	1	1.44
1964	196	8.39	81.7	78	0	0	1	1.44
1964	196	13.16	48.5	112.6	0	0	1	1.44
1964	196	13.85	93.1	123.4	0	0	1	1.44
1964	196	16.31	28.2	132.8	0	0	1	1.44
1964	196	15.59	27.5	106.5	2.029	0	1	1.44
1964	196	13.9	33.4	61.3	0	0	0	1.44
1964	196	8.37	48.5	27.4	0	0	0	1.44
1964	196	7.21	46.6	8.4	0	0	1	1.44
1964	196	3.18	59.3	5.1	0	0	1	1.44
1965	181	3.22	64	5.7	0	0	1	1.44
1965	181	2.51	28.6	22.6	0	0	1	1.44
1965	181	5.26	67.1	41.7	0	0	1	1.44
1965	181	7.9	61.2	73.9	0.3523	0	1	1.44
1965	181	11.24	55.4	108.2	0.3523	0	1	1.44
1965	181	13.95	61.6	120.3	0.3523	0	1	1.44
1965	181	13.68	96.8	126.3	0.3523	0	1	1.44
1965	181	14.67	77.7	103.4	0.3523	0	1	1.44
1965	181	12.24	139.6	61.1	1.7616	0	1	1.44
1965	181	10.32	63.3	30.6	0	0	1	1.44
1965	181	4.29	73.8	5.6	0	0	1	1.44
1965	181	4.39	120.1	1.2	0	0	1	1.44
1966	174	2.05	44.7	8.8	0	0	0	1.44
1966	174	5.97	84.3	22	0	0	0	1.44
1966	174	6.01	33.4	42.6	0	0	0	1.44
1966	174	7.37	90.3	73.8	0	0	0	1.44
1966	174	10.52	63.5	97.7	0	0	1	1.44
1966	174	15.25	140.9	121.7	0	0	1	1.44
1966	174	14.61	74.8	124.2	0	0	1	1.44
1966	174	14.47	126.6	99	0	0	1	1.44
1966	174	13.72	80.9	64.7	0	0	1	1.44
1966	174	10.18	143.7	30.2	0	0	1	1.44
1966	174	4.94	71.6	10.4	2.6	0	1	1.44
1966	174	5.06	95.5	5.3	0	0	0	1.44
1967	167	4.35	51.7	4.3	0	0	0	1.44
1967	167	5.15	78.8	18.6	0	0	0	1.44
1967	167	7.2	52.5	46.6	0	0	0	1.44
1967	167	7.38	83.4	74	0	0	1	1.44
1967	167	10.33	118.9	102.3	0	0	1	1.44
1967	167	13.28	61.3	111.3	0	0	1	1.44
1967	167	17.03	44.3	132.5	0	0	1	1.44
1967	167	15.78	43.7	112	1.9398	0	1	1.44
1967	167	13.43	58.8	67.6	0	0	0	1.44
1967	167	10.92	120.7	36.6	0	0	0	1.44
1967	167	4.97	59.4	8.6	0	0	0	1.44
1967	167	3.67	47.8	1.4	0	0	0	1.44
1968	161	3.62	46.4	15.3	0	0	0	1.44
1968	161	1.76	21.8	18.1	0	0	0	1.44
1968	161	6.64	15.8	58.7	0	0	0	1.44
1968	161	7.75	50.7	74.8	0	0	0	1.44
1968	161	9.69	55.2	100.8	0	0	1	1.44
1968	161	14.81	77.4	122.4	0	0	1	1.44
1968	161	14.79	108.5	131.7	0	0	1	1.44
1968	161	15.34	75.1	115.1	0	0	1	1.44
1968	161	14.04	108.2	72.5	1.3848	0	1	1.44
1968	161	12.66	40.8	41.5	0	0	0	1.44
1968	161	6.27	52.9	15.7	0	0	0	1.44
1968	161	2.27	47.1	3	0	0	0	1.44
1969	156	5.65	75.9	8.3	0	0	1	1.44
1969	156	0.52	57.4	12.6	0	0	1	1.44
1969	156	3.32	55.7	39.3	0	0	1	1.44
1969	156	7.67	34.7	75	0	0	1	1.44
1969	156	11.8	75.2	116.1	0	0	1	1.44
1969	156	13.24	29.8	114	0	0	1	1.44
1969	156	17.13	40.4	135.8	0	0	1	1.44
1969	156	16.48	60.6	124.6	2.029	0	1	1.44
1969	156	13.9	12.2	73.8	0	0	0	1.44
1969	156	12.9	3.4	37.6	0	0	0	1.44
1969	156	5.4	65.3	14.9	0	0	1	1.44
1969	156	2.92	49.4	4.8	0	0	1	1.44
1970	151	3.58	56.2	5.3	0	0	1	1.44
1970	151	2.69	56.9	19.1	0	0	1	1.44
1970	151	2.78	44.7	41.1	0	0	1	1.44
1970	151	6.69	71.5	80.1	0.262	0	1	1.44
1970	151	13.13	6.8	114.8	0.262	0	1	1.44
1970	151	16.02	32.7	134.7	0.262	0	1	1.44
1970	151	15.5	42.2	152.3	0.262	0	1	1.44
1970	151	15.71	63.4	110.6	0.262	0	1	1.44
1970	151	14.7	39.3	77	1.3098	0	1	1.44
1970	151	10.82	18.1	50.5	0	0	1	1.44
1970	151	7.98	130.5	24.6	0	0	1	1.44
1970	151	3.66	38	4.9	0	0	1	1.44
1971	149	4.17	87	7.5	0	0	0	1.44
1971	149	4.16	14.5	17.6	0	0	0	1.44
1971	149	4.57	48.4	41	0	0	0	1.44
1971	149	7.32	33.5	80.8	0	0	0	1.44
1971	149	11.03	35.5	101.5	0	0	1	1.44
1971	149	12.1	84.3	124.5	0	0	1	1.44
1971	149	16.67	36.6	129.2	0	0	1	1.44
1971	149	15.78	85.5	125.7	0	0	1	1.44
1971	149	13.36	15.7	55.1	1.7447	0	1	1.44
1971	149	11.2	79.5	32.2	0	0	0	1.44
1971	149	5.71	66.8	11.1	0	0	0	1.44
1971	149	5.88	21	5.1	0	0	0	1.44
1972	146	3.54	59.1	10.8	0	0	1	1.44
1972	146	4.04	38.1	18.7	0	0	1	1.44
1972	146	6.42	42.6	42.7	0	0	1	1.44
1972	146	8.03	48.5	93.3	0	0	1	1.44
1972	146	10.58	39.9	125.7	0	0	1	1.44
1972	146	11.96	27.3	128.4	0	0	1	1.44
1972	146	15.32	67.5	137.6	0	0	1	1.44
1972	146	14.97	15.2	110	2.4313	0	1	1.44
1972	146	11.38	35.7	67.2	0	0	0	1.44
1972	146	10.13	21.8	34.3	0	0	0	1.44
1972	146	5.99	51.7	15.4	0	0	1	1.44
1972	146	5.41	46.3	5.1	0	0	1	1.44
1973	143.5	4.14	20	6.5	0	0	0	1.44
1973	143.5	3.83	18.5	14.2	0	0	0	1.44
1973	143.5	5.53	11.1	37.8	0	0	0	1.44
1973	143.5	6.93	46.2	76.8	0	0	0	1.44
1973	143.5	11.17	111.3	106.2	0	0	1	1.44
1973	143.5	14.57	71.5	117	0	0	1	1.44
1973	143.5	15.46	37.2	128.5	0	0	1	1.44
1973	143.5	16.54	32.2	109.7	0	0	1	1.44
1973	143.5	14.47	36.2	77.1	1.6588	0	1	1.44
1973	143.5	8.74	30	28.6	0	0	0	1.44
1973	143.5	5.4	32.1	8.7	0	0	0	1.44
1973	143.5	4.62	32	2.4	0	0	0	1.44
1974	141.5	5.87	64.1	14.7	0	0	0	1.44
1974	141.5	5.31	62.8	21.2	0	0	0	1.44
1974	141.5	5.27	39.5	42.1	0	0	0	1.44
1974	141.5	7.1	15.9	76.4	0	0	1	1.44
1974	141.5	10.4	32.5	114.8	0	0	1	1.44
1974	141.5	13.39	68.4	124.3	0	0	1	1.44
1974	141.5	14.87	41.4	145.6	0	0	1	1.44
1974	141.5	14.86	109.8	107.4	1.9567	0	1	1.44
1974	141.5	12.08	108.9	62.1	0	0	0	1.44
1974	141.5	7.09	90.3	37.2	0	0	0	1.44
1974	141.5	6.72	121.5	14.8	0	0	0	1.44
1974	141.5	7.76	33.7	17.5	0	0	0	1.44
1975	140.5	6.65	63.4	17.3	0	0	1	1.44
1975	140.5	3.92	33.4	18	0	0	1	1.44
